Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,TTMFCF%,Cash,Cash%,NI,NI%
SCWX US Equity,1118.7239,339.522,493.419,540.767,2.267289869,2.068772503,0.453275487,0.095959013,254.2019963,0.515184856,80.164,0.162466383,151.341,0.306719036,92.726,0.187925475,-32.902,-0.066681664,9.279,0.018805518,101.539,0.205786563,-51.78112734,-0.104943521
LOGM US Equity,4064.2968,336.068,1130.17,1221.889,3.596181813,3.3262406,2.362920599,0.081155047,883.3670031,0.781623121,156.731,0.138679137,346.961,0.306998947,160.366,0.141895467,389.655,0.344775565,328.898,0.291016396,252.402,0.223331003,85.24747226,0.075428893
PAYC US Equity,7407.266,329.141,498.028,621.76,14.87319187,11.91338459,0.51311444,0.248443863,416.4860044,0.836270259,30.43,0.061100982,150.512,0.30221594,91.647,0.184019774,148.133,0.2974391,123.302,0.247580457,46.077,0.092518895,104.5627997,0.209953657
ALTR US Equity,2344.0949,313.24,362.102,403.583,6.47357623,5.808210207,0.155989018,0.11455612,250.6850008,0.692304933,93.234,0.257479937,79.958,0.220816234,87.979,0.242967451,-3.474,-0.009593982,32.57,0.089947031,39.213,0.108292691,-84.54,-0.233470127
ZEN US Equity,5616.1095,311.999,507.885,667.969,11.05783691,8.40773973,0.627841756,0.315197338,356.0180052,0.700981532,115.291,0.227002176,220.742,0.434629887,81.68,0.160823809,-86.04513924,-0.169418548,35.01,0.068932928,109.37,0.215344025,-115.405,-0.227226636
BOX US Equity,2584.7898,302.704,554.708,668.683,4.659730525,3.865493515,0.832509646,0.205468463,403.2880052,0.727027563,136.791,0.246600013,303.319,0.546808411,84.805,0.152882237,-104.106,-0.18767712,53.064,0.095661141,208.076,0.375109066,-150.311,-0.270973197
EBIX US Equity,2277.113,298.294,430.337,547.333,5.291464596,4.160379513,0.442660597,0.27187065,273.8119951,0.636273421,33.854,0.078668578,16.303,0.037884263,59.976,0.139369843,145.133,0.337254291,94.005,0.218445079,63.895,0.148476659,106.145,0.246655528
WIX US Equity,4154.2817,290.103,513.483,674.783,8.090397735,6.156470599,0.770002378,0.314129192,418.4450085,0.814915019,153.635,0.299201726,204.435,0.398133921,48.186,0.093841471,-27.757,-0.054056317,88.837,0.173008649,85.23,0.165984073,-41.12951856,-0.080099085
PVTL US Equity,4485.9958,280.874,509.436,735.4,8.805808384,6.100075877,0.813752786,0.443557189,281.042,0.55167283,160.947,0.315931736,221.187,0.434180152,67.204,0.131918435,-146.059,-0.286707261,-129.368,-0.253943577,73.012,0.143319279,-163.515,-0.320972605
QADB US Equity,684.5881,277.852,328.411,339.733,2.084546803,2.01507684,0.181963779,0.034475094,169.0430008,0.514730021,47.661,0.145126077,75.368,0.229492922,35.222,0.107249757,6.777,0.020635728,18.333,0.055823343,147.023,0.447679889,-1.2028758,-0.003662715
TWLO US EQUITY,6079.7704,277.335,492.648,667.761,12.34100291,9.104710218,0.776364325,0.355452575,261.8499955,0.531515393,120.739,0.245081681,100.669,0.204342654,59.619,0.12101744,-68.85692308,-0.13976901,12.944,0.026274338,115.286,0.234012926,-90.09293,-0.182874852
HUBS US Equity,4738.1673,270.967,441.399,558.067,10.73443143,8.4903198,0.62897696,0.264314147,354.1050049,0.802233365,70.373,0.159431716,212.859,0.48223716,56.787,0.128652308,-24.50381013,-0.055513968,43.859,0.099363614,87.68,0.198641139,-55.8441,-0.126516145
