Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,EBITDA,EBITDA%,Cash,NI,NI%
ULTI US Equity,8730.4278,781.291,1035.461,1245.01,8.431440489,7.012335483,0.325320527,0.202372663,648.369007,0.626164585,114.412,0.11049378,155.685,46.96070882,0.045352465
JCOM US Equity,4272.2192,874.255,1158.508,1252.333,3.687690719,3.411408308,0.325137403,0.080987788,974.2689978,0.840968727,412.8506923,0.356364127,350.945,150.784,0.130153611
APTI US Equity,1016.1319,160.569,212.478,249.063,4.782292284,4.079818761,0.32328158,0.172182532,147.2339993,0.692937619,-14.33907595,-0.067484991,55.069,-23.34697,-0.10987947
MDSO US EQUITY,4083.6497,463.381,609.726,719.867,6.697516097,5.672783584,0.315820027,0.180640156,460.9910041,0.756062566,82.144,0.13472281,237.325,48.94226463,0.080269276
CSU CN Equity,14085.4127,2125.086,2794.515,3253.536,5.040378277,4.3292629,0.315012663,0.164257841,2459.35801,0.880066133,707.224,0.253075757,488.964,288.485895,0.103232903
ENV US Equity,2777.4384,578.164,757.603,863.7,3.666086856,3.215744356,0.310360036,0.140043004,512.9659974,0.677090768,106.039,0.139966447,60.115,32.88226806,0.043403033
DBX US Equity,9553.6566,844.8,1106.8,1480.647,8.631782255,6.452352654,0.310132576,0.337772859,737.9,0.666696784,68.1,0.061528731,430,-50,-0.04517528
IMPV US Equity,1544.9141,264.455,344.017,369.769,4.490807431,4.178051973,0.300852697,0.074856766,274.4359969,0.797739638,7.055898734,0.02051032,192.538,-22.8319,-0.066368522
MDRX US Equity,4269.3924,1549.899,2006.245,2239.082,2.12805136,1.906760181,0.29443596,0.116056115,861.3570125,0.429337899,376.788,0.187807571,155.839,-22.32165162,-0.011126085
QLYS US Equity,2532.3747,197.925,255.436,303.845,9.9139303,8.334429397,0.29056966,0.189515182,196.1540005,0.767918385,67.129,0.262801641,86.591,42.55703867,0.166605485
ELLI US Equity,2538.9833,360.285,462.851,534.75,5.485530549,4.747981861,0.284680184,0.155339407,273.9890034,0.591959407,85.868,0.185519746,137.698,19.33749,0.041779082
GPN US Equity,21757.589,2898.15,3721.301,4117.898,5.84676945,5.283663898,0.284026362,0.106574824,2202.018987,0.59173364,1229.555,0.330409983,1335.855,446.2590724,0.119920176
CARB US EQUITY,1234.2757,206.986,265.089,329.138,4.656080411,3.750024914,0.280709806,0.241613194,189.5950009,0.71521263,35.431,0.133656998,128.231,-1.889951175,-0.007129497
FTNT US Equity,12362.8016,1275.443,1631.185,1909.708,7.57903095,6.473660685,0.278916424,0.170748873,1221.816974,0.749036421,213.778,0.13105687,811.004,136.692,0.083799201
AVLR US Equity,2527.3156,167.426,213.159,282.81,11.85648084,8.936443549,0.273153513,0.326756083,155.182,0.728010546,-43.303,-0.203148823,14.075,-55.23355,-0.259119014
EEFT US Equity,5499.3319,1958.615,2491.839,2815.54,2.206937085,1.953206809,0.272245439,0.12990446,1021.303006,0.409859147,464.616,0.186455064,819.144,221.3084286,0.088813294
INTU US Equity,52287.7195,4694,5964,6610.538,8.767223256,7.909752504,0.270558159,0.108406774,4992,0.837022133,1823,0.305667337,1464,1268.956279,0.212769329
III US Equity,275.4123,216.499,274.864,293.875,1.001994805,0.937174989,0.269585541,0.069165114,116.0360001,0.422157868,25.126,0.09141248,28.42,2.575333087,0.009369481
PS US Equity,3692.9135,131.841,166.824,257.7,22.13658406,14.33028133,0.265342344,0.544741764,116.996,0.70131396,-66.083,-0.396124059,28.267,-95.29388,-0.571224045
WK US Equity,1360.3652,178.646,225.61,255.92,6.029720314,5.315587684,0.262888618,0.134346882,161.0620006,0.713895663,-48.74664557,-0.216065979,60.333,-53.88,-0.238819201
SNPS US Equity,13254.6572,2422.532,3022.62,3239.1,4.385154998,4.092080269,0.247711073,0.071619985,2310.440056,0.764383236,650.302,0.215145139,1048.356,367.327097,0.121526059
TTWO US Equity,11310.2488,1413.698,1762.658,3002.867,6.416587222,3.766483431,0.24684197,0.703601606,927.5509905,0.526222892,287.156,0.162910786,808.973,192.85893,0.109413698
KXS CN Equity,1563.4879,115.951,143.752,169.758,10.87628624,9.210098493,0.239765073,0.180908787,101.7060018,0.707510169,35.332,0.245784406,158.398,20.335,0.141458901
GSKY US Equity,2665.1181,263.865,325.887,515.725,8.178043616,5.167711668,0.235052015,0.582527072,236.179,0.724726669,150.269,0.461107685,224.614,138.668,0.425509456
CSOD US Equity,2710.8599,423.124,519.382,532.575,5.219395166,5.090099798,0.227493595,0.025401342,372.4000011,0.717005982,15.74,0.030305247,393.576,-40.479,-0.077936856
SPSC US Equity,1335.0657,193.295,234.533,255.227,5.692442855,5.230895242,0.213342301,0.088234918,156.2690018,0.666298567,24.942,0.106347508,123.127,10.046,0.042834057
MSFT US Equity,759109.3799,91154,110360,122897.462,6.878482964,6.176770192,0.210698379,0.113605129,72007,0.652473722,45319,0.410646974,11946,27500.14,0.249185756
DATA US Equity,7440.2692,826.943,992.769,1052.459,7.494461652,7.069414771,0.200528936,0.060124762,864.8800095,0.871179509,-123.949,-0.124851803,627.878,-146.929,-0.147999182
PRO US Equity,1209.0925,153.276,183.617,205.868,6.584861424,5.873144442,0.197950103,0.12118159,109.5009998,0.596355456,-44.248,-0.240979866,160.505,-63.30455013,-0.344764102
PRGX US Equity,200.2968,140.844,168.364,181.1,1.189665249,1.106001104,0.195393485,0.075645625,62.75699872,0.372745948,16.505,0.098031646,18.823,2.14179,0.012721187
TYPE US Equity,759.3135,203.441,242.893,247.217,3.126123437,3.071445329,0.193923545,0.017802077,197.1649987,0.811736027,40.06020381,0.164929429,82.822,15.34682101,0.063183464
TIVO US Equity,2032.1336,649.093,774.831,685.5,2.622679784,2.964454559,0.193713382,-0.115290947,572.469007,0.738830799,202.028,0.260738148,128.965,-55.11913,-0.071136971
VMW US Equity,49272.5084,7093,8467,9081.755,5.819358498,5.42543907,0.193712111,0.072606,7285,0.860399197,2515,0.29703555,5971,3395.535324,0.401031691
CVLT US Equity,2249.4696,595.126,709.598,761.195,3.170061922,2.955181787,0.192349183,0.072713001,605.5009927,0.853301436,20.122,0.028356901,330.784,-7.688189561,-0.010834571
ZNGA US Equity,2858.7084,741.42,883.152,981.111,3.236938149,2.913746151,0.191162904,0.110919751,610.0060054,0.690714628,82.168,0.093039477,372.87,49.85421,0.056450317
ATHN US Equity,4868.8302,1082.9,1286.5,1414.836,3.78455515,3.441268246,0.188013667,0.099755927,696.8999908,0.541702286,325.8,0.253245239,165.1,132.491989,0.102986389
