Ticker	Revenue T12M	EBITDA T12M	Gross Profit T12M	EV/Sales T12M	C&CE LF	LT Brrwng LF	T12M R&D/Sales	T12M SG&A Exp	Revenue Growth YoY
OKTA US Equity	324195000	-116569000	228250000	20.5956	192882000	263762000	0.272399	268934000	62.16%
CYBR US Equity	314517000	40858000	267758000	7.197	205247008	0	0.161975	182335000	20.82%
MIME US Equity	301246000	17048000	220428000	7.2791	118881000	97046000	0.146519	176940000	40.38%
SPNS US Equity	287996000	36601000	107510000	1.9196	64079000	0	0.118706	55382000	24.52%
FSCT US Equity	278875000	-84477000	212389000	3.4811	129035000	10089000	0.214763	244807000	32.38%
VRNS US Equity	255979000	-23774000	230158000	6.0482	67868000	0	0.217925	193685000	32.17%
PIKL US Equity	242473000	-91985000	170157000	 	30562000	8158000	0	31768000	101.63%
FIVN US Equity	240732000	10377000	142674000	10.1662	79619000	199914000	0.135448	108019000	23.53%
SAIL US Equity	238461000	19530000	185619000	9.274	83315000	0	0.179145	135370000	40.51%
RPD US Equity	233052000	-45550000	164055000	6.03	131160000	172164992	0.253499	152920456	27.63%
MB US Equity	228909000	-20857000	159892000	5.4806	154074000	249424992	0.196084	140037000	31.37%
DGII US Equity	228366000	14592000	108883000	1.1494	58014000	0	0.145284	73082000	25.73%
QTWO US Equity	225626000	-10146000	112634000	9.9143	211779008	180122000	0.207951	87027000	29.13%
COUP US Equity	219095000	-34963000	150869000	15.8208	282060992	0	0.238441	142518000	39.62%
APPN US Equity	217089000	-38707000	135717000	8.3223	107266000	0	0.197101	134729000	32.96%
BL US Equity	215705000	-5168000	167735000	10.2803	38401000	0	0.134858	166384000	43.78%
AVLR US Equity	213159008	-52473000	155182000	11.7752	14075000	38840000	0.193583	168080000	27.32%
YEXT US Equity	212953000	-75146000	158973000	6.3747	28337000	0	0.150922	206399000	36.97%
INST US Equity	197128000	-38339000	139109000	5.8476	111031000	0	0.304101	129518000	43.22%
MDB US Equity	192241000	-107693000	138526000	20.8934	122771000	210552992	0.402552	176234000	52.45%
TRHC US Equity	190893000	-15135000	62194000	8.1653	13947000	26840000	0.04183	33971000	43.04%
ZS US Equity	190174000	 	152299000	23.6361	135579008	0	0.207068	147544000	51.27%
TLND US Equity	190152000	-35495000	144283000	5.0277	89736000	772000	0.180592	144919000	40.21%
TENB US Equity	187727008	-36068000	162139008	15.475	27210000	1802000	0.307217	145226000	50.94%
AYX US Equity	182384000	-12499000	160043000	18.4555	85324000	0	0.222952	137195000	53.41%
APPF US Equity	177603000	33482000	109443000	11.5631	13745000	0	0.115283	53858000	36.20%
PLAN US Equity	168347008	-38520000	116362000	19.9619	110898000	0	0.183597	131373000	39.71%
ZUO US Equity	167926000	-39728000	88020000	13.4895	48208000	12052000	0.230095	95659000	48.60%
PS US Equity	166824000	-66083000	116996000	21.2129	28267000	116037000	0	150448992	26.53%
CBLK US Equity	162014000	-48109000	126376000	8.2882	36073000	0	0.32125	129527000	39.38%
CSLT US Equity	151317000	-37679000	92419000	1.9826	46900000	3719000	0.414688	76158000	29.23%
SEND US Equity	137172000	3739000	102751000	14.508	186423008	10165000	0.264935	68845000	39.98%
EVBG US Equity	134441000	-26131000	92419000	12.007	76271000	92916000	0.213134	94576000	35.79%
UPLD US Equity	132552000	10218000	81370000	5.6298	19037000	155756992	0.155719	43980000	31.01%
USAT US Equity	128244000	3855000	35866000	2.6349	17107000	32895000	0.01345	31491000	34.47%
SMAR US Equity	111253000	-44902000	89571000	25.3743	58158000	3713000	0.337879	100959000	66.14%
FNJN US Equity	105728000	52456000	89127000	0.2222	51142000	0	0.029178	36425000	174.56%
NCTY US Equity	104776072	 	-3027291	1.8031	156987200	0	0.616554	 	30.16%
GVP US Equity	91398000	1462000	21840000	0.5919	9831000	7089000	0.019625	17415000	33.48%
ASUR US Equity	79837000	8197000	54630000	2.2609	19194000	108566000	0.081904	41995000	53.18%
PNTR US Equity	78204000	12885000	41295000	1.2042	8315000	3048000	0.051833	25872000	21.45%
MITK US Equity	63559000	-1262000	54873000	5.4399	9086000	0	0.24659	38767000	40.03%
SITO US Equity	43099606	-22771738	19217213	0.5421	4628333	8542	0	39110195	47.98%
MTBC US Equity	42327007	508943	 	1.3744	1259574	264854	0.034009	15714643	29.87%
XGTI US Equity	41595000	-15241000	20184000	0.2279	1209000	0	0.204897	24245000	627.47%
GOPH US Equity	41537940	 	 	1.5198	522445	2600000	0	15863383	5471.12%
SMKG US Equity	38075000	-5960999.891	11044999.38	0.2419	277000	1381000	0.001045	 	1200.14%
BOXL US Equity	31192664	-10613176	6240943	0.821	1586413	382667	0.018099	17195911	26.37%
SWKH US Equity	30534000	3226000	 	3.3408	19214000	0	0	4734000	67.50%
SLP US Equity	29666524	13019092	21672296	11.3214	9400701	0	0.060359	9583852	22.90%
SSTRF US Equity	28437432	-1732096.875	11659975.25	0.3501	422012	7568220	0.000066	 	29.20%
VERI US Equity	19600000	-55316000	16400000	2.5278	46127000	0	0.969264	53927000	61.74%
LSYN US Equity	18952461	605950	16508510	2.2643	9364218	6094621	0.057708	4963954	20.38%
ALIF US Equity	18434347	-5055918	9133887	0.0549	96166	0	0.092176	 	29.32%
IBIN US Equity	17425592	7419650	17069220	 	8952415	0	 	 	41.44%
ALPP US Equity	16555158	-1433724	4724144	1.421	337242	13886654	0	5743664	28.37%
SNRR US Equity	13060865	-2112724	1398419.406	0.5495	7275	240406	 	 	28.01%
IICN US Equity	10655967	2015416	5787898	0.5106	438799	0	0	 	616.79%
CSYS US Equity	9424000	-1743000.07	6123999.813	 	55000	23000	0.231187	 	31.25%
EINF US Equity	9414000	1451000.004	6617000.25	0.9956	711000	52000	0.128371	 	28.09%
VCMP US Equity	8772665	-4558752.125	5865443.25	0.3392	184319	1973928	0.379992	 	63.12%
RDVT US Equity	8578000	-20362000	1512000	8.3704	65000	0	0	21874000	87.09%
HLIX US Equity	7647193	 	 	10.211	464992	73161	0	 	89.94%
GIGM US Equity	7509535	-2683146	3642991	 	59923784	0	0.092446	7029953	29.26%
IEXA US Equity	7415000	-3159200.031	2483999.844	 	115800	6500	 	 	134.23%
DRIO US Equity	7272000	-15445000	2111000	1.0426	11427000	0	0.637718	14160000	84.45%
ELCO US Equity	5773000	-2399999.945	4659999.938	 	1578000	10000	0.142459	 	67.09%
IFSC US Equity	5532000.063	-1214528.977	5066000.125	 	64769	1265049	0.243902	 	223.93%
SANT US Equity	5420701	233160	2716602	0.0148	190492	29925	0	 	90.46%
GNUS US Equity	5377804	 	 	3.634	5074026	1645895	0.004991	 	515.51%
LIQDQ US Equity	5218367	-24393521	2827180	 	12138859	0	0	 	106.13%
AEYE US Equity	4754880	-4667303	2531850	9.2827	6090665	0	0.066183	7008634	175.52%
ORHK US Equity	4233000	 	 	5.6551	22000	2138000	0.898745	 	843.27%
EMRN US Equity	4104554.125	-857825.2539	851235.6602	3.1784	337583	460216.7813	0	1882753.563	2032.96%
NXPS US Equity	3302000.063	-3858000	1545000.063	2.8011	1094000	11843000	0.755804	 	24.52%
HYRE US Equity	3223874	-4066950	311326	6.7021	213944	0	0.21311	3691237	525.46%
CLWD US Equity	2931089	-1654580	 	 	 	 	0	902994	40.94%
MMPWQ US Equity	2851107	-6848511	855888	 	113384	27850	0	5926114	182.48%
SWRM US Equity	2831808	-751154	622481	0.1031	57454	0	 	 	160.60%
WWTH US Equity	2204085	-2493383	1481997	 	73857	250000	0	 	21.41%
MOST US Equity	2063601	-3769658	1368497	45.1818	349969	41255304	0.484876	3682140	85.08%
SSVC US Equity	1588000	-2655000	-21000.0059	 	939000	18000	0.15869	 	123.98%
ARRAF US Equity	1476000	-6748000	554000	 	2299000	3663000	0.663957	 	87.55%
