Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,Cash,NI,NI%
TNAV US Equity,128.1708,183.346,106.18,222.333,1.207108683,0.576481224,-0.420876376,1.09392541,43.94999913,0.413919751,87.488,0.823959314,20.748,0.195404031,21.562,0.203070258,-82.265,-0.77476926,-7.963,17.117,-86.17529,-0.811596252
GSUM US Equity,194.5496,400.259,77.32425493,93.373,2.51602295,2.083574481,-0.80681445,0.207551241,65.75231967,0.850345338,23.22682486,0.300382136,21.90812682,0.283328004,12.6188124,0.163193456,-10.10216011,-0.130646718,#N/A N/A,524.454,-21.59991482,-0.279342036
FSNN US Equity,796.4112,124.65427,226.470718,566,3.516618868,1.407086926,0.816790696,1.499219347,104.5018841,0.461436627,0,0,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,45.785222,0.202168397,#N/A N/A,2.530388,-20.27199698,-0.089512663
PRGX US Equity,200.2968,140.844,168.364,181.1,1.189665249,1.106001104,0.195393485,0.075645625,62.75699872,0.372745948,0,0,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,16.505,0.098031646,-5.209,18.823,2.14179,0.012721187
HUT CN Equity,162.8111,0,8.568819066,67.895,19.00041286,2.397983651,#DIV/0!,6.92349558,2.482139288,0.289671105,0,0,#N/A N/A,#VALUE!,0.01061908,0.00123927,4.465561478,0.52114083,#N/A N/A,0.286252,-3.078647736,-0.359284951
III US Equity,275.4123,216.499,274.864,293.875,1.001994805,0.937174989,0.269585541,0.069165114,116.0360001,0.422157868,0,0,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,25.126,0.09141248,14.823,28.42,2.575333087,0.009369481
OPT CN Equity,124.4103,171.0899,128.101112,123,0.971188291,1.011465854,-0.251264324,-0.039820981,72.5341886,0.566226065,41.944025,0.327429047,19.221936,0.150052843,36.027413,0.281242,-23.433501,-0.182929724,-57.896323,110.891744,-50.69404662,-0.395734634
RUBI US Equity,69.7558,278.221,120.132,124.5,0.580659608,0.56028755,-0.568213758,0.036360004,61.8550004,0.514891956,47.5,0.395398395,51.794,0.43114241,55.596,0.46279093,-43.578,-0.362750974,-42.018,76.642,-75.31859707,-0.626965314
CYRN US Equity,151.4391,30.983,31.909,38.61,4.745968222,3.922276612,0.029887358,0.210003447,19.02500001,0.59622677,9.825,0.30790686,15.551,0.487354665,7.286,0.228336833,-12.441,-0.38989,-13.39,23.981,-20.87557453,-0.654222148
SHOP US EQUITY,11763.5179,389.33,853.573,1210.891,13.78150188,9.714762022,1.192415175,0.418614459,481.9689999,0.564648835,135.997,0.159326736,225.694,0.264410894,67.719,0.079335921,-41.38,-0.048478572,-12.155,141.677,-52.222,-0.061180473
MDB US Equity,3220.281,65.271,192.241,271.538,16.75127054,11.85941194,1.945274318,0.412487451,138.5259988,0.720585093,62.202,0.323562612,109.95,0.571938348,36.775,0.191296342,-107.693,-0.560197877,-44.983,61.902,-111,-0.577400242
ZS US Equity,3799.4987,80.325,190.174,258.79,19.97906496,14.6817833,1.3675568,0.360806419,152.2989995,0.80084028,39.379,0.207068264,116.409,0.612118376,31.135,0.163718489,#N/A N/A,#VALUE!,#N/A N/A,135.579,-29.383,-0.154505874
TWLO US EQUITY,6079.7704,277.335,492.648,667.761,12.34100291,9.104710218,0.776364325,0.355452575,261.8499955,0.531515393,120.739,0.245081681,100.669,0.204342654,59.619,0.12101744,-68.85692308,-0.13976901,12.944,115.286,-90.09293,-0.182874852
INOV US Equity,2404.9516,427.588,476.027,635.75,5.052132757,3.782857413,0.113284283,0.335533489,327.9580031,0.688948322,27.383,0.057524048,34.103,0.071640894,149.948,0.314998939,100.641,0.21141868,3.204,208.944,7.217936265,0.015162872
WIX US Equity,4154.2817,290.103,513.483,674.783,8.090397735,6.156470599,0.770002378,0.314129192,418.4450085,0.814915019,153.635,0.299201726,204.435,0.398133921,48.186,0.093841471,-27.757,-0.054056317,88.837,85.23,-41.12951856,-0.080099085
OKTA US EQUITY,5590.6316,85.907,324.195,424.094,17.24465707,13.18252934,2.773790262,0.308144789,228.2500021,0.70405158,70.821,0.218451858,172.973,0.533546168,51.803,0.159789633,-116.569,-0.35956446,-21.871,127.949,-123.625,-0.381329138
DOCU US EQUITY,6010.1651,250.481,602.315,762.5,9.978441679,7.882183738,1.404633485,0.265948881,444.9690031,0.738764605,92.428,0.153454588,277.93,0.461436292,81.526,0.135354424,#N/A N/A,#VALUE!,#N/A N/A,256.867,-328.258,-0.544993899
CARB US EQUITY,1234.2757,206.986,265.089,329.138,4.656080411,3.750024914,0.280709806,0.241613194,189.5950009,0.71521263,46.16,0.174130198,90.922,0.342986695,43.331,0.16345831,35.431,0.133656998,32.344,128.231,-1.889951175,-0.007129497
SQ US EQUITY,28442.0455,1708.721,2684.735,1858.064,10.59398618,15.30735513,0.571195649,-0.307915306,1029.431997,0.38343896,321.888,0.119895632,253.17,0.09429981,250.553,0.09332504,-3.812,-0.001419879,72.409,696.474,-55.131,-0.020534988
VEEV US EQUITY,11492.5267,409.221,766.224,912.071,14.99891246,12.60047376,0.872396578,0.190345121,534.7110057,0.697852072,132.051,0.172339942,130.898,0.17083516,60.391,0.078816377,188.203,0.245623995,274.413,320.183,162.8560096,0.212543603
MDSO US EQUITY,4083.6497,463.381,609.726,719.867,6.697516097,5.672783584,0.315820027,0.180640156,460.9910041,0.756062566,138.564,0.227256177,126.273,0.207097942,94.324,0.154698996,82.144,0.13472281,44.371,237.325,48.94226463,0.080269276
TDC US Equity,3802.556,2322,2202,2153.799,1.726864668,1.765511081,-0.051679587,-0.021889646,1035,0.470027248,306,0.138964578,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,220,0.099909173,169,1089,70.96369231,0.032226927
FDEV LN Equity,498.007,21.366,45.91377685,104.675,10.84657012,4.757649869,1.14891776,1.279816804,32.36201487,0.704843232,11.41398875,0.248596163,8.158987721,0.177702387,9.02913651,0.196654188,12.96360557,0.282346748,5.632,24.124,5.138268885,0.111911266
TTWO US Equity,11310.2488,1413.698,1762.658,3002.867,6.416587222,3.766483431,0.24684197,0.703601606,927.5509905,0.526222892,196.373,0.111407318,256.092,0.145287401,247.828,0.140599027,287.156,0.162910786,128.859,808.973,192.85893,0.109413698
AVV LN Equity,5116.1342,201.491,662.1627529,964.041,7.726399858,5.306967442,2.286314291,0.455897354,462.0736394,0.697824874,154.3159829,0.233048419,169.7696047,0.256386521,72.9297383,0.11013869,163.3098104,0.246630922,65.211,105.649,77.68393733,0.117318495
EVH US Equity,1670.4738,254.188,505.653,700.992,3.303597131,2.383014071,0.989287457,0.386310375,233.045,0.460879299,17.2,0.034015422,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,12.508,0.024736331,-25.264,238.433,-25.14581932,-0.049729398
PRSM LN Equity,1375.1851,9.644,50.94483046,68.814,26.99361422,19.98408899,4.282541524,0.350755305,50.92743537,0.99965855,0,0,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,-15.660511,-0.307401376,4.607,16.331,-16.3777046,-0.321479225
UBI FP Equity,11136.6034,1393.997,2027.470149,2646.601,5.492856902,4.207889062,0.454429349,0.30537113,1679.992931,0.828615372,808.4622297,0.398754196,397.176679,0.19589767,169.335727,0.0835207,942.2682308,0.46475073,809.695,746.939,205.6917448,0.101452416
TRHC US Equity,1498.6234,94.062,169.743,217.958,8.828778801,6.875743951,0.804586337,0.284047059,52.63700036,0.310098209,5.628,0.033156006,5.542,0.032649358,21.181,0.12478276,17.134,0.100940834,7.027,10.43,8.891516771,0.052382229
GLUU US Equity,751.9175,200.581,332.996,392.42,2.258037634,1.916103919,0.660157243,0.178452594,180.1019986,0.540853339,92.42,0.277540871,104.356,0.313385146,34.425,0.10337962,-42.642,-0.128055592,#N/A N/A,63.764,-26.04347,-0.078209558
CRW LN Equity,877.1806,49.846,67.067,79,13.07916859,11.1035519,0.345484091,0.177926551,63.66000008,0.949200055,13.174,0.196430435,8.257,0.12311569,8.736,0.130257802,20.859,0.311017341,29.554,52.833,15.8051,0.235661354
MDRX US Equity,4269.3924,1549.899,2006.245,2239.082,2.12805136,1.906760181,0.29443596,0.116056115,861.3570125,0.429337899,220.219,0.109766753,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,376.788,0.187807571,154.956,155.839,-22.32165162,-0.011126085
EA US Equity,25857.6105,4396,4838,5394.975,5.344690058,4.792906455,0.100545951,0.115125052,3503,0.724059529,1320,0.272840017,641,0.132492766,469,0.096940885,1151,0.237908227,1351,4258,881.08,0.182116577
ZNGA US Equity,2858.7084,741.42,883.152,981.111,3.236938149,2.913746151,0.191162904,0.110919751,610.0060054,0.690714628,256.012,0.289884414,212.03,0.240083247,108.653,0.123028652,82.168,0.093039477,94.092,372.87,49.85421,0.056450317
OMCL US Equity,2570.2041,692.623,756.018,833.2,3.399659929,3.084738478,0.091528869,0.102090162,351.1589995,0.464484972,66.022,0.087328609,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,88.09,0.11651839,35.474,32.424,25.58334208,0.033839594
ATHN US Equity,4868.8302,1082.9,1286.5,1414.836,3.78455515,3.441268246,0.188013667,0.099755927,696.8999908,0.541702286,173.6,0.134939759,252.2,0.196035756,145.4,0.113019821,325.8,0.253245239,297.6,165.1,132.491989,0.102986389
CDR PW Equity,3484.2853,583.903,106.2746355,116.741,32.78567161,29.84628622,-0.817992654,0.098484125,81.47767221,0.766670917,#N/A N/A,#VALUE!,29.38365273,0.276487918,8.556525622,0.080513338,46.14953638,0.434247891,70.03,647.516,37.74553269,0.355169721
GBG LN Equity,988.6848,73.401,158.8109066,172.514,6.225547233,5.731040959,1.163606852,0.086285594,122.8674396,0.773671294,15.08081381,0.094960819,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,34.72554066,0.218659672,25.52,22.753,16.47865812,0.103762761
SDL LN Equity,503.5813,264.7,390.2106469,423.655,1.290537057,1.188658932,0.47416187,0.085708459,208.1033695,0.533310332,34.0188542,0.087180743,#N/A N/A,#VALUE!,172.6714569,0.442508318,41.08189413,0.105281326,12.2,22.7,28.18756716,0.072236797
