Company,EV/TTM,TTMRevGr,NTMRevGr,GP%,SM%,EBITDA%,NI%,Cash%
DATA US Equity,7.494461652,0.200528936,0.060124762,0.871179509,0.521214905,-0.124851803,-0.147999182,0.632451255
WNS US Equity,3.133304398,0.38318934,0.059670782,0.342463994,0.053712706,0.15413966,0.118441358,0.128380916
ECOM US Equity,2.094648772,0.133454064,0.048298222,0.790221885,0.494867778,-0.033832916,-0.081343964,0.41636076
NUAN US Equity,3.350549974,0.030231366,0.047487301,0.564015421,0.198289589,0.171746386,0.010619682,0.15736612
BLKB US Equity,4.297305548,0.139884923,0.045615783,0.553517521,0.208302073,0.194882629,0.096219888,0.03580839
WP US Equity,9.410776973,0.105621948,0.042015299,0.753263267,0.16919488,0.337696307,0.023714983,0.031969332
RUBI US Equity,0.580659608,-0.568213758,0.036360004,0.514891956,0.43114241,-0.362750974,-0.626965314,0.637981554
QADB US Equity,2.084546803,0.181963779,0.034475094,0.514730021,0.229492922,0.020635728,-0.003662715,0.447679889
CHKP US Equity,6.848682158,0.089373405,0.033457798,0.895454074,0.228489025,0.500626012,0.433661464,0.129163642
CA US Equity,4.281917358,0.030559006,0.033148505,0.854869817,0.255785921,0.347155256,0.189981949,0.820877531
CTXS US Equity,4.962646927,0.06295832,0.028465389,0.847022308,0.345940415,0.306660606,0.203086592,0.383425041
CSOD US Equity,5.219395166,0.227493595,0.025401342,0.717005982,0.462609409,0.030305247,-0.077936856,0.757777513
TYPE US Equity,3.126123437,0.193923545,0.017802077,0.811736027,0.376742022,0.164929429,0.063183464,0.34098142
MSTR US Equity,1.419239495,-0.010221395,0.0139547,0.80398124,0.344452642,0.093816454,0.083248837,0.829004628
ATEN US Equity,1.256451264,0.017831296,0.008428788,0.777168789,0.438124054,-0.040006785,-0.08429652,0.201283769
